Symbol,Company,DPM,DPM Name,DPM EFID,DPM Firm ID,Extended-Hours Eligible,Settlement Style,Tick Type,Symbol Type,Post,Station
SVIX,-1x Short VIX Futures ETF,Yes,Citadel Securities LLC,CEDL,CDRG,Yes,American,nickel,ETF,9,1
FLWS,1 800 FLOWERS COM INC CL A,Yes,Belvedere Trading LLC,JAEC,BLVT,No,American,nickel,Equity,1,1
TXG,10X GENOMICS INC CL A COM,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,2,1
YQ,17 ED & TECHNOLOGY GROUP INC SPONSORED ADR,Yes,Belvedere Trading LLC,JAEC,BLVT,No,American,nickel,Equity,1,1
FFBC,1ST FINL BANCORP COM,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,2,1
SRCE,1ST SOURCE CORP COM,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,2,1
DIBS,1STDIBS COM INC COM,Yes,"Wolverine Trading, LLC",WETW,WOLV,No,American,nickel,Equity,1,1
TETH,21Shares Ethereum ETF,Yes,"Susquehanna Securities, LLC",SQQB,SSUS,No,American,nickel,ETF,1,1
BITX,2x Bitcoin Strategy ETF,Yes,"Wolverine Trading, LLC",WETW,WOLV,No,American,penny,ETF,8,1
ETHU,2x Ether ETF,Yes,"Susquehanna Securities, LLC",SQQB,SSUS,No,American,nickel,ETF,1,1
UVIX,2x Long VIX Futures ETF ,Yes,"Wolverine Trading, LLC",WETW,WOLV,Yes,American,penny,ETF,9,1
DDD,3D SYS CORP DEL COM NEW,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,2,1
MMM,3M CO COM,Yes,"Susquehanna Securities, LLC",SQQJ,SSUS,No,American,penny,Equity,2,1
FDMT,4D MOLECULAR THERAPEUTICS INC COM,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
EGHT,8X8 INC NEW COM,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,2,1
MASS,908 DEVICES INC COM,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,1,1
ATEN,A10 NETWORKS INC COM,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,1,1
AZ,A2Z CUST2MATE SOLUTIONS CORP COM,Yes,Group One Trading LLC,GMVE,PRGD,No,American,nickel,Equity,2,1
AAON,AAON INC COM PAR $0.004,Yes,"Wolverine Trading, LLC",WETW,WOLV,No,American,nickel,Equity,2,1
AIR,AAR CORP COM,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,1,1
AARD,AARDVARK THERAPEUTICS INC COM,Yes,Group One Trading LLC,GMVE,PRGD,No,American,nickel,Equity,1,1
ABX,ABACUS GLOBAL MGMT INC CL A,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
ABT,ABBOTT LABORATORIES COM,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
ABBV,ABBVIE INC COM,Yes,"Susquehanna Securities, LLC",SQQJ,SSUS,No,American,penny,Equity,1,1
ABCL,ABCELLERA BIOLOGICS INC COM,Yes,Group One Trading LLC,GMVE,PRGD,No,American,nickel,Equity,2,1
ABEO,ABEONA THERAPEUTICS INC COM NEW,Yes,"Jane Street Capital, LLC",ZDDD,JNSC,No,American,nickel,Equity,1,1
ANF,ABERCROMBIE & FITCH CO CL A,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
ABVX,ABIVAX SA SPONSORED ADS,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
ABM,ABM INDS INC COM,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
ABVE,ABOVE FOOD INGREDIENTS INC COM,Yes,"Jane Street Capital, LLC",ZDDD,JNSC,No,American,nickel,Equity,2,1
BCI,ABRDN ETFS BBRG ALL COMD K1,Yes,Belvedere Trading LLC,JAEC,BLVT,No,American,nickel,ETF,2,1
BCD,ABRDN ETFS BBRG ALL COMMDY,Yes,Belvedere Trading LLC,JAEC,BLVT,No,American,nickel,ETF,1,1
PALL,ABRDN PALLADIUM ETF TRUST PHYSICAL PALLADM,Yes,"Wolverine Trading, LLC",WETW,WOLV,No,American,nickel,ETF,1,1
PPLT,ABRDN PLATINUM ETF TRUST PHYSCL PLATM SHS,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,ETF,1,1
SIVR,ABRDN SILVER ETF TRUST PHYSCL SILVR SHS,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,ETF,1,1
